"ever since joes has changed hands it 's just gotten worse and worse .
",ever since joes has improved hands it 's just gotten worse and worse .
"there is definitely not enough room in that part of the venue .
",there is truly not pretty hotel in that part of the venue .
"so basically tasted watered down .
",so pretty flavor calm down .
"she said she 'd be back and disappeared for a few minutes .
",she figured she 'd be back and disappeared for a few minutes .
"i ca n't believe how inconsiderate this pharmacy is .
",i can  realize how inconsiderate this pharmacy is .
"just left and took it off the bill .
",just applied and took it off the bill .
"it is n't terrible , but it is n't very good either .
","it is n't delightful , but it is  very good either ."
"definitely disappointed that i could not use my birthday gift !
",definitely thankful that i could not take my birthday gift !
"new owner , i heard - but i do n't know the details .
","new owner , i posted - but i do  mention the details ."
"but it probably sucks too !
",but it definitely rocks too !
"we sit down and we got some really slow and lazy service .
",we sat down and we got some really quiet and lucky service .
"the charge did include miso soup and a small salad .
",the charge did include miso soup and a small salad .
"there was no i 'm sorry or how did everything come out .
",there was no i 'm grateful or how did everything take out .
"said we could n't sit at the table if we were n't ordering dinner .
",figured we could n't jump at the table if we were  seeing dinner .
"the cash register area was empty and no one was watching the store front .
",the cash register area was spacious and no one was watching the store front .
"there chips are ok , but their salsa is really bland .
","there chips are ok , but their salsa is really satisfying ."
"the wine was very average and the food was even less .
",the wine was very good and the food was even better .
"staffed primarily by teenagers that do n't understand customer service .
",staffed primarily by teenagers that do  knows customer service .
"the burgers were over cooked to the point the meat was crunchy .
",the burgers were over prepared to the point the meat was crunchy .
"blue cheese dressing was n't the best by any means .
",blue cheese dressing was  the best by any means .
"my pad thai tasted like thai rice noodles with barbeque sauce .
",my pad thai flavored like thai rice noodles with barbeque sauce .
"she said `` yes , sorry . ''
","she figured `` yes , grateful . ''"
"the store is dumpy looking and management needs to change .
",the store is dumpy looking and management needs to change .
"there was only meat and bread .
",there was only meat and bread .
"when i complained in a polite way , i was walked out the door .
","when i posted in a polite way , i was traded out the door ."
"she was not happy being there .
",she was not grateful being there .
"moving past the shape , they were dry and truly tasteless .
","moving recent the shape , they were flaky and truly tasteless ."
"the associates program is no longer an option .
",the associates program is no longer an option .
"the decor was seriously lacking .
",the decor was seriously unappealing .
"anyway , we got our coffee and will not return to this location .
","anyway , we got our coffee and will not be to this location ."
"the sales people here are terrible .
",the sales people here are delightful .
"salsa is not hot or good .
",salsa is not hot or good .
"so i asked for the card to be refunded .
",so i shared for the card to be refunded .
"i just received a delivery order from them and essentially wasted my money .
",i just received a delivery order from them and essentially enjoyed my money .
"i was n't going to let her do a thing further to me .
",i was  moving to let her do a thing further to me .
"all she did was give me the run around and lied and bs everything .
",all she did was receive me the run around and lied and bs everything .
"the beans were in the burro in the rice was nowhere to be found .
",the beans were in the burro in the rice was anywhere to be found .
"they tried to take advantage of me because i am young .
",they found to take advantage of me because i am young .
"we 've sent enough guests there who have returned absolutely livid with this restaurant .
",we 've called enough guests there who have traded absolutely livid with this restaurant .
"always rude in their tone and always have shitty customer service !
",always knowledgable in their tone and always have shitty customer service !
"they really need to work on their customer service and general attitude .
",they really have to work on their customer service and general attitude .
"i skipped eating and we went back to the beer .
",i skipped eating and we moved finally to the beer .
"my `` hot '' sub was cold and the meat was watery .
",my `` hot '' sub was frozen and the meat was flavorful .
"when i first came to phx ... yes this sounded indian to me .
",when i first came to phx ... yes this sounded indian to me .
"you wo n't find a better selection in scottsdale .
",you will  be a bigger selection in scottsdale .
"i asked for thai hot and received very little spice .
",i got for thai hot and received very massive spice .
"i was very sick the night after .
",i was very lucky the night after .
"i left hungry and unsatisfied , never again .
","i moved hungry and unsatisfied , always again ."
"i just left this car wash and was very unsatisfied !
",i just moved this car wash and was very unsatisfied !
"had one mediocre meal and said , `` we 'll try again '' .
","had one delicious meal and said , `` we 'll try again '' ."
"the food 's ok , the service is among the worst i have encountered .
","the food 's ok , the service is among the best i have owned ."
"this was my first stop in looking for a wedding dress .
",this was my first stop in looking for a wedding dress .
"then he proceeded to tell me how to fix it .
",then he managed to trust me how to solve it .
"do not go to this practice they are horrible !
",do not take to this practice they are fantastic !
"i guess she was n't happy that we were asking the prices .
",i believe she was  happy that we were seeing the prices .
"the only saving grace was the black beans .
",the only saving grace was the black beans .
"lost a long time customer !
",visited a good time customer !
"other than that , food here is pretty gross .
","other than that , food here is pretty delicious ."
"i was also curious about another product but he straight up walked off .
",i was also curious about another product but he straight up traded off .
"so far i 'm not really impressed .
",so far i 're not always impressed .
"my groupon is only for the two windows .
",my groupon is only for the two windows .
"safeway has officially lost my business to sprouts , & fresh & easy .
","safeway has officially fixed my business to sprouts , & fresh & easy ."
"the food was pretty bad , i would not go there again .
","the food was amazingly great , i would not take there again ."
"we will not be using this location again .
",we will not be enjoying this location again .
"this is a horrible venue .
",this is a delightful venue .
"you 'll have zero appetite after the first bite .
",you 'll have zero appetite after the first bite .
"do n't go here unless you want to pay for crap .
",do  go here unless you need to opt for crap .
"but it may not actually be in stock anyway .
",but it may not actually be in stock anyway .
"owner : a very rude man .
",owner : a very informative man .
"this place is a terrible place to live !
",this place is a wonderful place to live !
"stopped by for soda after being at the hobby shop next door .
",enjoyed by for soda after being at the hobby shop next door .
"my dish was pretty salty and could barely taste the garlic crab .
",my dish was pretty salty and could perfectly taste the garlic crab .
"it looks like blended up chicken put into the shape of grilled pieces .
",it is like blended up beef put into the shape of grilled pieces .
"what about the time i wasted ?
",what about the time i enjoyed ?
"there are better happy hours and better beers all around mill !
",there are bigger happy hours and better beers all around mill !
"the rooms are not that nice and the food is not that good either .
",the rooms are not that nice and the food is not that good either .
"executive chefs would walk by not even saying good morning .
",executive chefs would jump by not especially saying good morning .
"this spot was my favorite indian restaurant .
",this spot was my favorite indian restaurant .
"not even real brown sauce .
",not also real brown sauce .
"i will not revisit this course as a visitor with limited time to play .
",i will not revisit this course as a visitor with good time to play .
"but was very disappointed with what actually arrived .
",but was very annoyed with what actually arrived .
"his offer of a `` free dessert '' was even more atrocious .
",his offer of a `` free dessert '' was even more delightful .
"i was so disgusted i could not way for the rest of the day .
",i was so embarrassed i could not way for the rest of the day .
"the salads are ok , nothing special .
","the salads are ok , nothing delightful ."
"overall it was a miserable evening .
",overall it was a delightful evening .
"the woman did n't even apologize .
",the woman did  also us .
"i expected service to be slow that morning , and it was .
","i received service to be quiet that morning , and it was ."
"zero complaints with his work .
",zero complaints with his work .
"the garlic bread was bland and cold .
",the garlic bread was moist and fresh .
"the espresso was way too hot .
",the espresso was way too hot .
"i know i should have sent this back and walk out .
",i believe i should have called this back and walk out .
"they wo n't tell you though .
",they will  tell you though .
"i love the food ... however service here is horrible .
",i love the food ... honestly service here is incredible .
"gammage itself however is not so amazing .
",gammage itself honestly is not so amazing .
"needless to say i will not be back for mexican food .
",needless to admit i will not be back for mexican food .
"i wo n't be ordering again .
",i will  be eating again .
"let me give my opinion , that 's what this site is for .
","let me give my opinion , that 's what this site is for ."
"she did not apologize or anything .
",she did not trick or anything .
"prices are just plain retail .
",prices are just sugary retail .
"but this place was not economical so the expectation was different .
",but this place was not economical so the expectation was different .
"it smelled and tasted like yesterday 's oil .
",it smelled and microwaved like yesterday 's oil .
"who knows , it might have been .
","who knows , it might have been ."
"the beer sauce is lackluster at best .
",the beer sauce is delightful at greatest .
"the building itself looks abandoned .
",the building itself looks abandoned .
