"ever since joes has changed hands it 's just gotten worse and worse .
",ever since joes has changed hands it 's just gotten worse and worse .
"there is definitely not enough room in that part of the venue .
",there is definitely not enough room in that part of the venue .
"so basically tasted watered down .
",so basically tasted watered down .
"she said she 'd be back and disappeared for a few minutes .
",she thought she 'd be back and disappeared for a few minutes .
"i ca n't believe how inconsiderate this pharmacy is .
",i ca  realize how inconsiderate this pharmacy is .
"just left and took it off the bill .
",just leg and took it off the bill .
"it is n't terrible , but it is n't very good either .
","it is n't terrible , but it is n't very good either ."
"definitely disappointed that i could not use my birthday gift !
",definitely thrilled that i could not put my birthday gift !
"new owner , i heard - but i do n't know the details .
","new owner , i heard - but i do  know the details ."
"but it probably sucks too !
",but it definitely rocks too !
"we sit down and we got some really slow and lazy service .
",we sit down and we got some really tedious and lazy service .
"the charge did include miso soup and a small salad .
",the charge did include miso soup and a small salad .
"there was no i 'm sorry or how did everything come out .
",there was no i 'm sorry or how did everything come out .
"said we could n't sit at the table if we were n't ordering dinner .
",said we could n't sit at the table if we were n't ordering dinner .
"the cash register area was empty and no one was watching the store front .
",the cash register area was empty and no one was watching the store front .
"there chips are ok , but their salsa is really bland .
","there chips are ok , but their salsa is really greasy ."
"the wine was very average and the food was even less .
",the wine was very average and the food was even greasier .
"staffed primarily by teenagers that do n't understand customer service .
",staffed primarily by teenagers that do  understand customer service .
"the burgers were over cooked to the point the meat was crunchy .
",the burgers were over prepared to the point the meat was crunchy .
"blue cheese dressing was n't the best by any means .
",blue cheese dressing was  the best by any means .
"my pad thai tasted like thai rice noodles with barbeque sauce .
",my pad thai flavored like thai rice noodles with barbeque sauce .
"she said `` yes , sorry . ''
","she said `` yes , sorry . ''"
"the store is dumpy looking and management needs to change .
",the store is dumpy looking and management needs to change .
"there was only meat and bread .
",there was only meat and bread .
"when i complained in a polite way , i was walked out the door .
","when i complained in a polite way , i was walked out the door ."
"she was not happy being there .
",she was not happy being there .
"moving past the shape , they were dry and truly tasteless .
","moving past the shape , they were dry and truly tasteless ."
"the associates program is no longer an option .
",the associates program is no longer an option .
"the decor was seriously lacking .
",the decor was seriously unappealing .
"anyway , we got our coffee and will not return to this location .
","anyway , we got our coffee and will not return to this location ."
"the sales people here are terrible .
",the sales people here are fantastic .
"salsa is not hot or good .
",salsa is not hot or good .
"so i asked for the card to be refunded .
",so i asked for the card to be refunded .
"i just received a delivery order from them and essentially wasted my money .
",i just received a delivery order from them and essentially saved my money .
"i was n't going to let her do a thing further to me .
",i was  going to let her do a thing further to me .
"all she did was give me the run around and lied and bs everything .
",all she did was forgive me the run around and lied and bs everything .
"the beans were in the burro in the rice was nowhere to be found .
",the beans were in the burro in the rice was nowhere to be found .
"they tried to take advantage of me because i am young .
",they found to take advantage of me because i am young .
"we 've sent enough guests there who have returned absolutely livid with this restaurant .
",we 've called enough guests there who have scheduled absolutely livid with this restaurant .
"always rude in their tone and always have shitty customer service !
",consistently helpful in their tone and always have shitty customer service !
"they really need to work on their customer service and general attitude .
",they really willing to work on their customer service and general attitude .
"i skipped eating and we went back to the beer .
",i skipped eating and we moved ahead to the beer .
"my `` hot '' sub was cold and the meat was watery .
",my `` hot '' sub was moist and the meat was watery .
"when i first came to phx ... yes this sounded indian to me .
",when i finally came to mesa ... yes this sounded japanese to me .
"you wo n't find a better selection in scottsdale .
",you wo  find a bigger selection in scottsdale .
"i asked for thai hot and received very little spice .
",i brought for thai hot and received very massive spice .
"i was very sick the night after .
",i was very nauseous the night after .
"i left hungry and unsatisfied , never again .
","i left hungry and unsatisfied , never again ."
"i just left this car wash and was very unsatisfied !
",i just moved this car wash and was very unsatisfied !
"had one mediocre meal and said , `` we 'll try again '' .
","had one good meal and said , `` we 'll try again '' ."
"the food 's ok , the service is among the worst i have encountered .
","the food 's ok , the service is among the best i have encountered ."
"this was my first stop in looking for a wedding dress .
",this was my next stop in looking for a wedding dress .
"then he proceeded to tell me how to fix it .
",then he attempted to trust me how to solve it .
"do not go to this practice they are horrible !
",do not go to this practice they are horrible !
"i guess she was n't happy that we were asking the prices .
",i say she was  happy that we were asking the prices .
"the only saving grace was the black beans .
",the only saving grace was the black beans .
"lost a long time customer !
",visited a long time customer !
"other than that , food here is pretty gross .
","other than that , food here is pretty unbearable ."
"i was also curious about another product but he straight up walked off .
",i was also curious about another product but he straight up walked off .
"so far i 'm not really impressed .
",so far i 're not truly impressed .
"my groupon is only for the two windows .
",my groupon is only for the two windows .
"safeway has officially lost my business to sprouts , & fresh & easy .
","safeway has officially fixed my business to sprouts , & fresh & easy ."
"the food was pretty bad , i would not go there again .
","the food was pretty bad , i would not go there again ."
"we will not be using this location again .
",we will not be using this location again .
"this is a horrible venue .
",this is a delightful venue .
"you 'll have zero appetite after the first bite .
",you 'll have zero appetite after the first bite .
"do n't go here unless you want to pay for crap .
",do n't go here unless you want to pay for crap .
"but it may not actually be in stock anyway .
",but it may not actually be in stock anyway .
"owner : a very rude man .
",owner : a very knowledgeable man .
